epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,4907.2,0.6839,0.47476,0.90846,0.88718,0.77458,0.85567,0.68689,0.76805,0.52169,0.93066,0.0224062,0.00746875,0.0224062,0.00746875,0.0224062,0.00746875,0.0224062,0.00746875
74,4971.3,0.69081,0.47199,0.91182,0.91852,0.77554,0.88108,0.71405,0.74526,0.50862,0.91638,0.0223008,0.00743359,0.0223008,0.00743359,0.0223008,0.00743359,0.0223008,0.00743359
75,5035.85,0.6834,0.47398,0.90916,0.90309,0.79934,0.87843,0.70817,0.74399,0.53067,0.92375,0.0221953,0.00739844,0.0221953,0.00739844,0.0221953,0.00739844,0.0221953,0.00739844
76,5100.55,0.682,0.468,0.90806,0.93688,0.76326,0.87252,0.70459,0.74162,0.52021,0.9185,0.0220898,0.00736328,0.0220898,0.00736328,0.0220898,0.00736328,0.0220898,0.00736328
77,5164.89,0.67815,0.46428,0.9082,0.92176,0.7854,0.87378,0.70002,0.74375,0.52526,0.9204,0.0219844,0.00732812,0.0219844,0.00732812,0.0219844,0.00732812,0.0219844,0.00732812
78,5231.47,0.67683,0.46372,0.90713,0.93461,0.79828,0.88801,0.71192,0.74868,0.5134,0.91383,0.0218789,0.00729297,0.0218789,0.00729297,0.0218789,0.00729297,0.0218789,0.00729297
79,5296.78,0.67452,0.46117,0.90459,0.92794,0.79302,0.87765,0.70354,0.74649,0.51748,0.91524,0.0217734,0.00725781,0.0217734,0.00725781,0.0217734,0.00725781,0.0217734,0.00725781
80,5361.94,0.67664,0.45943,0.90519,0.93773,0.77362,0.86597,0.70388,0.72632,0.54267,0.90693,0.021668,0.00722266,0.021668,0.00722266,0.021668,0.00722266,0.021668,0.00722266
81,5426.69,0.67149,0.45735,0.90427,0.92511,0.80212,0.88858,0.71588,0.74897,0.52853,0.91832,0.0215625,0.0071875,0.0215625,0.0071875,0.0215625,0.0071875,0.0215625,0.0071875
82,5492.08,0.67066,0.45156,0.90544,0.92962,0.81384,0.8871,0.71608,0.73699,0.49533,0.91337,0.021457,0.00715234,0.021457,0.00715234,0.021457,0.00715234,0.021457,0.00715234
83,5557.01,0.66741,0.45447,0.90359,0.93662,0.79889,0.89749,0.71679,0.74644,0.49347,0.90973,0.0213516,0.00711719,0.0213516,0.00711719,0.0213516,0.00711719,0.0213516,0.00711719
84,5621.9,0.66763,0.454,0.90145,0.92217,0.77849,0.86045,0.70606,0.72818,0.56059,0.91272,0.0212461,0.00708203,0.0212461,0.00708203,0.0212461,0.00708203,0.0212461,0.00708203
85,5686.74,0.6645,0.44878,0.9039,0.94766,0.80311,0.88461,0.71464,0.73257,0.49469,0.91496,0.0211406,0.00704688,0.0211406,0.00704688,0.0211406,0.00704688,0.0211406,0.00704688
86,5751.41,0.66687,0.45097,0.90328,0.91838,0.7813,0.86149,0.70032,0.7295,0.50464,0.90978,0.0210352,0.00701172,0.0210352,0.00701172,0.0210352,0.00701172,0.0210352,0.00701172
87,5816.31,0.66013,0.44366,0.90206,0.93687,0.80456,0.88461,0.72324,0.70931,0.49359,0.90173,0.0209297,0.00697656,0.0209297,0.00697656,0.0209297,0.00697656,0.0209297,0.00697656
88,5881.75,0.65554,0.44317,0.90036,0.93081,0.80803,0.88831,0.72455,0.71545,0.48379,0.90757,0.0208242,0.00694141,0.0208242,0.00694141,0.0208242,0.00694141,0.0208242,0.00694141
89,5947.15,0.65907,0.44314,0.90178,0.92898,0.82085,0.88989,0.71385,0.75773,0.49732,0.92265,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
90,6012.58,0.65701,0.43948,0.90142,0.92555,0.78939,0.8784,0.71657,0.74302,0.51818,0.9287,0.0206133,0.00687109,0.0206133,0.00687109,0.0206133,0.00687109,0.0206133,0.00687109
91,6078.69,0.66146,0.44327,0.90156,0.91821,0.80024,0.87697,0.71299,0.72412,0.49847,0.90956,0.0205078,0.00683594,0.0205078,0.00683594,0.0205078,0.00683594,0.0205078,0.00683594
92,6144.51,0.65635,0.43552,0.90029,0.94524,0.79967,0.88755,0.72237,0.70723,0.46598,0.90468,0.0204023,0.00680078,0.0204023,0.00680078,0.0204023,0.00680078,0.0204023,0.00680078
93,6209.72,0.65029,0.43423,0.89729,0.90508,0.81961,0.88793,0.7179,0.73709,0.49276,0.91808,0.0202969,0.00676562,0.0202969,0.00676562,0.0202969,0.00676562,0.0202969,0.00676562
94,6274.77,0.64674,0.43916,0.8983,0.93318,0.80697,0.88556,0.71572,0.72137,0.49291,0.90983,0.0201914,0.00673047,0.0201914,0.00673047,0.0201914,0.00673047,0.0201914,0.00673047
95,6341.59,0.6528,0.43021,0.8967,0.92944,0.82022,0.88915,0.72627,0.71785,0.47544,0.91491,0.0200859,0.00669531,0.0200859,0.00669531,0.0200859,0.00669531,0.0200859,0.00669531
96,6406.78,0.65094,0.43529,0.90013,0.93179,0.79849,0.89346,0.72957,0.71904,0.48516,0.91299,0.0199805,0.00666016,0.0199805,0.00666016,0.0199805,0.00666016,0.0199805,0.00666016
97,6471.89,0.64449,0.43225,0.89819,0.90193,0.77722,0.87658,0.71492,0.71657,0.50217,0.90913,0.019875,0.006625,0.019875,0.006625,0.019875,0.006625,0.019875,0.006625
98,6537.06,0.64279,0.42915,0.89622,0.9108,0.77448,0.87928,0.7152,0.6999,0.49689,0.89658,0.0197695,0.00658984,0.0197695,0.00658984,0.0197695,0.00658984,0.0197695,0.00658984
99,6603.95,0.64575,0.43025,0.89537,0.93838,0.80174,0.88405,0.72572,0.69628,0.50355,0.90215,0.0196641,0.00655469,0.0196641,0.00655469,0.0196641,0.00655469,0.0196641,0.00655469
100,6669.32,0.63772,0.42334,0.89337,0.94977,0.79056,0.89139,0.72956,0.72138,0.50053,0.91645,0.0195586,0.00651953,0.0195586,0.00651953,0.0195586,0.00651953,0.0195586,0.00651953
101,6735.24,0.64441,0.43155,0.89702,0.93822,0.79171,0.88319,0.7196,0.72661,0.49299,0.9208,0.0194531,0.00648438,0.0194531,0.00648438,0.0194531,0.00648438,0.0194531,0.00648438
102,6801.08,0.63034,0.42112,0.89065,0.91845,0.81173,0.89212,0.72449,0.72484,0.49862,0.91227,0.0193477,0.00644922,0.0193477,0.00644922,0.0193477,0.00644922,0.0193477,0.00644922
103,6865.81,0.63535,0.42129,0.89359,0.9179,0.81823,0.89828,0.73717,0.691,0.46022,0.89972,0.0192422,0.00641406,0.0192422,0.00641406,0.0192422,0.00641406,0.0192422,0.00641406
104,6931.82,0.63193,0.41788,0.89189,0.91433,0.8216,0.89107,0.72354,0.72805,0.48944,0.91471,0.0191367,0.00637891,0.0191367,0.00637891,0.0191367,0.00637891,0.0191367,0.00637891
105,6998.61,0.63686,0.42104,0.89427,0.94583,0.79897,0.8972,0.73317,0.7014,0.48122,0.90526,0.0190312,0.00634375,0.0190312,0.00634375,0.0190312,0.00634375,0.0190312,0.00634375
106,7064.59,0.62771,0.41602,0.88912,0.91726,0.81878,0.88905,0.72484,0.7007,0.46842,0.90331,0.0189258,0.00630859,0.0189258,0.00630859,0.0189258,0.00630859,0.0189258,0.00630859
107,7130.07,0.63371,0.42198,0.89196,0.93635,0.81974,0.89153,0.72599,0.69011,0.46966,0.90135,0.0188203,0.00627344,0.0188203,0.00627344,0.0188203,0.00627344,0.0188203,0.00627344
